id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
38087	2004070658446	2004-06-16 00:00:00	2004-04-01 00:00:00	TXK	Texarkana Regional Airport	USAir	Passenger Property Loss	Checked Baggage	605.48	Cameras - Digital	Settled	247.0	Settle
72496	2005093093609	2005-09-21 00:00:00	2005-07-17 00:00:00	TXK	Texarkana Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage	539.75	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Canceled	0.0	
73746	2005101994860	2005-10-13 00:00:00	2005-09-11 00:00:00	TXK	Texarkana Regional Airport	USAir	Passenger Property Loss	Checked Baggage	539.72	Cameras - Digital	Denied	0.0	Deny
98182	2007012519516	2007-01-16 00:00:00	2006-12-26 00:00:00	TXK	Texarkana Regional Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	995.0	Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)*Video Recordings (blank & commercial)	Denied	0.0	Deny
105244	2007060726521	2007-06-04 00:00:00	2007-05-07 00:00:00	TXK	Texarkana Regional Airport	American Airlines	Passenger Property Loss	Checkpoint	322.97	Cameras - Digital	Denied	0.0	Deny
125883	2008072947582	2008-07-23 00:00:00	2008-07-15 00:00:00	TXK	Texarkana Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage	1100.0	Jewelry - Fine	Denied	0.0	Deny
132078	2009010554028	2008-12-22 00:00:00	2008-11-25 00:00:00	TXK	Texarkana Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage	905.84	Clothing - Shoes, belts, accessories, etc.*Jewelry - Fine	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
168623	2012032992249	2012-02-22 00:00:00	2011-12-04 00:00:00	TXK	Texarkana Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Cameras*Cosmetics & Grooming*Cosmetics & Grooming*Cosmetics & Grooming*Personal Electronics*Toys & Games*Toys & Games*Toys & Games*Toys & Games*Toys & Games*Toys & Games*Toys & Games*Toys & Games*Toys & Games		0.0	Deny
175588	2012112898927	2012-11-01 00:00:00	2012-06-24 12:00:00	TXK	Texarkana Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Personal Accessories		520.0	Settle
179530	2013042503354	2013-04-01 00:00:00	2013-03-08 06:00:00	TXK	Texarkana Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Other		158.34	Settle
204096	2015061123063	2015-06-02 00:00:00	2015-04-30 00:00:00	TXK	Texarkana Regional Airport	USAir	Passenger Property Loss	Checked Baggage		Other		0.0	Deny
204099	2016011128267	2015-12-28 00:00:00	2015-12-12 00:00:00	TXK	Texarkana Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Medical/Science		19.99	Approve in Full
220666	2017090842798	2017-07-27 00:00:00	2017-07-25 10:30:00	TXK	Texarkana Regional Airport Texarkana Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Jewelry & Watches*Personal Accessories			Closed: Canceled
