id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
104086	2007051425348	2007-05-10 00:00:00	2007-03-13 00:00:00	UTA	Tunica Airport		Passenger Property Loss	Checked Baggage	54.49	Clothing & Accessories,Tools & Machines	Denied	0.0	Deny
110231	2007091131602	2007-09-05 00:00:00	2006-11-02 00:00:00	UTA	Tunica Airport		Passenger Property Loss	Checked Baggage	300.0	Other	Denied	0.0	Deny
116631	2008012238316	2008-01-11 00:00:00	2007-11-25 00:00:00	UTA	Tunica Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	4000.0	Watches & Jewelry	Denied	0.0	Deny
126828	2008081348514	2008-08-12 00:00:00	2008-08-08 00:00:00	UTA	Tunica Airport		Passenger Property Loss	Checked Baggage	29.67	Other	Denied	0.0	Deny
129853	2008110351675	2008-10-24 00:00:00	2008-10-15 00:00:00	UTA	Tunica Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	800.0	Other	Denied	0.0	Deny
130503	2008111752315	2008-11-12 00:00:00	2008-11-10 00:00:00	UTA	Tunica Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	100.0	Containers	Denied	0.0	Deny
131368	2008120453126	2008-12-03 00:00:00	2008-12-02 00:00:00	UTA	Tunica Airport		Passenger Property Loss	Checked Baggage		Tools & Machines	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
134298	2009031256141	2009-02-23 00:00:00	2009-02-16 00:00:00	UTA	Tunica Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	16.3	Tools & Machines	Approved	16.3	Approve in Full
134716	2009032056655	2009-03-05 00:00:00	2009-03-04 00:00:00	UTA	Tunica Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	12.78	Tools & Machines	Denied	0.0	Deny
134790	2009032056629	2009-03-09 00:00:00	2009-01-25 00:00:00	UTA	Tunica Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Approved	50.0	Approve in Full
134886	2009032056648	2009-03-10 00:00:00	2009-02-18 00:00:00	UTA	Tunica Airport	Allegheny Airlines Inc	Passenger Property Loss	Checked Baggage	1500.0	Watches & Jewelry	Denied	0.0	Deny
135788	2009042157779	2009-04-01 00:00:00	2009-03-10 00:00:00	UTA	Tunica Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines,Other	Denied	0.0	Deny
139377	2009062560648	2009-07-13 00:00:00	2009-06-06 00:00:00	UTA	Tunica Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	266.23	Watches & Jewelry	Denied	0.0	Deny
140313	2009080762389	2009-08-04 00:00:00	2009-06-07 00:00:00	UTA	Tunica Airport	American Airlines	Passenger Property Loss	Checked Baggage	110.0	Tools & Machines	Denied	0.0	Deny
171613	2012062694932	2012-06-08 00:00:00	2012-05-25 00:00:00	UTA	Tunica Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Watches & Jewelry		0.0	Deny
192453	2014082916317	2014-08-11 00:00:00	2014-07-26 00:00:00	UTA	Tunica Airport	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage		Watches & Jewelry			
