id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
52798	2005011273606	2004-12-22 00:00:00	2004-11-29 00:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checkpoint	104.47	Other	Other	Approved	104.47	Approve in Full
63874	2005051684782	2005-05-13 00:00:00	2005-04-13 00:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage	408.98	Electronics	Cameras - Digital	Denied	0.0	Deny
64642	2005062987749	2005-05-24 00:00:00	2005-03-30 00:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage	50.0	Watches & Jewelry	Jewelry - Fine	Approved	50.0	Approve in Full
82023	2006031503177	2006-03-10 00:00:00	2006-02-01 00:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage	340.0	Other	Currency	Denied	0.0	Deny
82609	2006033003839	2006-03-21 00:00:00	2006-01-04 00:00:00	YKM	Yakima Air Terminal-Mcallister	Horizon Air	Passenger Property Loss	Checked Baggage	325.0	Other	Other	Denied	0.0	Deny
85924	2006053107112	2006-05-30 00:00:00	2006-05-14 00:00:00	YKM	Yakima Air Terminal-Mcallister	Horizon Air	Passenger Property Loss	Checked Baggage	1119.77	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
101743	2007032622921	2007-03-22 00:00:00	2007-02-18 00:00:00	YKM	Yakima Air Terminal-Mcallister		Passenger Property Loss	Checked Baggage	86.4	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	43.2	Settle
112157	2007101633487	2007-10-15 00:00:00	2007-09-23 00:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage	349.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
112571	2007103134204	2007-10-22 00:00:00	2007-10-12 00:00:00	YKM	Yakima Air Terminal-Mcallister	Delta Air Lines	Passenger Property Loss	Checked Baggage	21.67	Electronics,Other	Cameras - Digital*Other	Denied	0.0	Deny
124825	2008070246521	2008-06-30 00:00:00	2008-06-18 00:00:00	YKM	Yakima Air Terminal-Mcallister	Horizon Air	Passenger Property Loss	Checked Baggage	349.0	Electronics	GPS - Global Positioning System	Denied	0.0	Deny
126307	2008080648112	2008-07-31 00:00:00	2008-06-21 00:00:00	YKM	Yakima Air Terminal-Mcallister	British Airways	Passenger Property Loss	Checked Baggage	70.25	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
146966	2010032970140	2010-03-23 00:00:00	2010-03-07 12:30:00	YKM	Yakima Air Terminal-Mcallister	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories			
149228	2010061772735	2010-06-01 00:00:00	2010-04-29 05:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Cosmetics & Grooming		0.0	Deny
152461	2010090975838	2010-09-03 00:00:00	2010-08-26 20:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches		0.0	Deny
156451	2011020479935	2011-01-12 00:00:00	2010-12-05 00:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage		Other	Other		39.5	Approve in Full
160212	2011052483729	2011-05-16 00:00:00	2011-04-29 06:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage		Outdoors Supplies	Hunting & Fishing Items		31.0	Approve in Full
162632	2011081686199	2011-08-02 00:00:00	2011-07-31 00:00:00	YKM	Yakima Air Terminal-Mcallister	Aerolitoral	Passenger Property Loss	Checked Baggage		Other	Other		48.0	Approve in Full
165094	2011110488695	2011-10-24 00:00:00	2011-09-27 11:25:00	YKM	Yakima Air Terminal-Mcallister	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics	Cameras		70.5	Settle
168382	2012032392015	2012-02-14 00:00:00	2012-01-13 00:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage		Electronics,Other	Computer & Accessories*Other		0.0	Deny
175545	2012112998986	2012-10-31 00:00:00	2012-10-21 00:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		10.0	Approve in Full
204121	2015010919736	2015-01-09 00:00:00	2015-01-04 00:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		0.0	Deny
204123	2015042222083	2015-04-17 00:00:00	2015-04-09 00:00:00	YKM	Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage		Electronics	Computer & Accessories			
212321	2016011928409	2016-01-06 00:00:00	2016-01-02 10:30:00	YKM	Yakima Air Terminal-Mcallister Yakima Air Terminal-Mcallister	Alaska Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Cosmetics & Grooming		0.0	Deny
212322	2017010436255	2016-11-09 00:00:00	2016-10-24 00:00:00	YKM	Yakima Air Terminal-Mcallister Yakima Air Terminal-Mcallister	Horizon Air	Passenger Property Loss	Checked Baggage		Cosmetics	Cosmetics & Grooming			In Review
