Airport,Clothing & Accessories,Containers,Cosmetics,Electronics,Food & Drink,Household Items,Other,Outdoors Supplies,Supplies,Tools & Machines,Watches & Jewelry
ABE,23,30,11,26,0,0,21,2,2,8,10
ABI,6,7,1,18,0,0,8,1,0,2,3
ABQ,184,143,68,154,13,15,280,24,10,57,85
ABR,6,4,4,3,0,0,10,0,0,1,7
ABY,6,4,5,7,0,0,13,0,0,0,4
ACK,12,2,3,5,0,2,3,1,0,0,4
ACT,8,2,5,11,0,0,8,1,0,1,5
ACV,6,7,5,12,0,0,17,1,1,2,4
ACY,26,27,11,38,0,1,42,4,4,8,17
ADK,1,0,0,0,0,0,0,1,0,0,0
ADQ,3,6,0,1,0,2,9,4,0,1,0
AEX,13,8,5,22,1,1,13,1,4,1,11
AGS,19,7,10,12,0,1,8,2,0,2,5
AHN,0,0,0,1,0,0,0,0,0,0,0
AIA,0,0,2,1,0,0,0,0,0,0,0
AKN,0,0,0,0,0,0,1,0,0,1,1
ALB,203,188,52,167,10,6,229,23,13,55,92
ALO,5,3,1,3,0,0,6,0,2,2,2
ALS,2,1,1,0,0,0,3,0,0,0,0
ALW,1,3,8,7,4,1,5,2,0,0,1
AMA,18,29,17,20,0,0,17,2,2,2,11
ANC,144,124,56,189,15,10,333,72,11,74,53
AOO,2,0,0,0,0,0,0,1,0,0,0
APF,0,0,0,0,0,0,1,0,0,0,1
APN,1,3,0,1,0,0,1,0,0,1,0
ART,3,0,1,1,1,0,2,0,0,0,0
ASE,22,23,9,13,2,1,13,7,0,3,15
ATL,1155,1033,569,1652,161,66,1350,209,61,259,819
ATW,11,14,8,26,2,0,18,2,1,8,10
ATY,0,1,0,0,0,1,0,0,0,1,1
AUG,4,2,0,1,0,0,2,0,0,0,0
AUS,205,133,100,285,8,10,213,32,10,35,105
AVL,28,29,13,34,2,2,33,4,2,9,14
AVP,9,9,5,12,1,2,9,5,1,4,12
AZO,12,15,6,21,0,1,8,4,0,4,5
BDL,210,166,73,222,10,12,268,29,12,57,102
BET,1,4,1,0,1,0,2,1,0,0,0
BFD,2,2,0,5,0,0,2,0,0,1,0
BFF,3,1,3,3,0,1,0,0,0,0,1
BFL,10,12,5,13,1,2,7,0,1,6,6
BGM,12,10,3,10,0,1,10,0,0,2,9
BGR,6,7,5,17,0,1,17,1,0,6,4
BHB,1,0,0,1,0,0,4,0,0,1,1
BHM,57,59,19,82,1,2,77,7,3,16,26
BIL,18,14,6,20,1,1,30,8,3,6,10
BIS,4,7,3,8,1,0,8,2,1,3,6
BJI,4,4,1,4,0,0,3,0,0,1,3
