airport,Clothing & Accessories,Containers,Cosmetics,Electronics,Food & Drink,Household Items,Other,Outdoors Supplies,Supplies,Tools & Machines,Watches & Jewelry
ABE,11,0,7,16,0,0,9,0,0,5,7
ABI,2,3,0,11,0,0,4,1,0,1,3
ABQ,120,17,58,92,6,5,162,15,7,34,76
ABR,5,0,3,1,0,0,6,0,0,1,7
ABY,3,2,4,5,0,0,11,0,0,0,4
ACK,10,0,2,4,0,0,1,0,0,0,3
ACT,6,1,5,8,0,0,5,1,0,1,5
ACV,3,1,4,11,0,0,13,0,1,2,4
ACY,11,6,9,20,0,0,28,2,3,4,17
ADK,1,0,0,0,0,0,0,1,0,0,0
ADQ,2,0,0,1,0,1,5,2,0,1,0
AEX,7,2,3,21,0,1,9,0,3,1,9
AGS,16,1,9,6,0,1,5,2,0,2,5
AHN,0,0,0,1,0,0,0,0,0,0,0
AIA,0,0,1,1,0,0,0,0,0,0,0
AKN,0,0,0,0,0,0,1,0,0,1,1
ALB,116,26,42,122,6,2,155,14,10,27,84
ALO,3,0,1,1,0,0,3,0,1,2,2
ALS,2,1,1,0,0,0,3,0,0,0,0
ALW,1,0,8,7,3,0,5,2,0,0,1
AMA,10,9,16,13,0,0,10,2,0,1,11
ANC,102,16,40,123,13,5,224,50,7,41,46
AOO,1,0,0,0,0,0,0,1,0,0,0
APF,0,0,0,0,0,0,0,0,0,0,1
APN,0,1,0,0,0,0,1,0,0,0,0
ART,3,0,1,0,1,0,1,0,0,0,0
ASE,16,1,8,9,2,1,8,3,0,1,14
ATL,773,225,442,1136,88,31,940,132,44,173,742
ATW,8,3,7,20,1,0,11,2,1,8,10
ATY,0,1,0,0,0,0,0,0,0,1,1
AUG,2,0,0,1,0,0,2,0,0,0,0
AUS,121,19,70,167,5,5,126,19,8,20,90
AVL,19,5,10,24,1,1,26,2,2,8,14
AVP,8,0,3,9,0,1,6,3,0,3,12
AZO,7,2,5,17,0,0,5,2,0,3,4
BDL,139,22,58,124,5,3,162,16,7,31,88
BET,0,2,1,0,1,0,2,0,0,0,0
BFD,2,0,0,3,0,0,0,0,0,0,0
BFF,3,0,3,3,0,0,0,0,0,0,1
BFL,7,5,3,11,0,2,4,0,0,6,6
BGM,8,3,3,8,0,0,7,0,0,0,9
BGR,3,3,4,13,0,0,11,0,0,6,4
