date	Approve	Settle	Deny
0	1379	11	817
1	2378	97	1645
2	1949	258	1470
3	1233	250	1072
4	1045	325	973
5	1065	408	1047
6	796	387	841
7	663	395	860
8	562	332	737
9	458	322	624
10	659	491	1051
11	233	253	436
12	400	354	726
13	221	217	491
14	181	219	478
15	366	446	852
16	197	233	469
17	175	234	454
18	154	210	422
19	142	208	425
20	268	446	1032
21	120	205	394
22	109	165	420
23	79	157	319
24	99	167	427
25	153	335	779
26	60	143	392
27	81	162	358
28	62	133	295
29	80	169	353
30	162	384	907
31	55	136	291
32	83	172	407
33	40	109	242
34	46	130	305
35	87	236	549
36	37	101	241
37	53	124	289
38	44	118	228
39	60	124	319
40	91	270	618
41	25	86	179
42	50	118	239
43	25	100	227
44	24	84	199
45	40	154	402
46	27	73	158
47	27	96	196
48	24	76	201
49	29	93	215
50	64	254	766
51	31	63	155
52	20	63	191
53	13	64	171
54	18	75	154
55	27	78	241
56	14	42	138
57	11	43	129
58	16	46	110
59	22	46	137
60	33	95	419
61	5	46	96
62	12	47	124
63	14	41	116
64	16	40	115
65	7	47	206
66	4	33	97
67	4	32	122
68	8	29	102
69	15	39	122
70	18	52	310
71	4	16	87
72	9	31	102
73	4	35	75
74	7	29	97
75	11	52	198
76	5	22	70
77	4	32	79
78	6	15	77
79	5	35	83
80	18	79	313
81	6	21	71
82	2	26	81
83	2	17	61
84	1	23	67
85	11	25	122
86	3	26	58
87	4	22	80
88	1	19	57
89	6	25	75
90	6	41	197
91	9	17	45
92	3	23	57
93	4	14	52
94	4	17	57
95	6	31	110
96	0	18	57
97	2	13	99
98	1	13	64
99	2	19	76
100	24	50	487
101	0	14	42
102	0	12	45
103	1	8	31
104	0	19	67
105	4	15	68
106	2	16	43
107	2	12	59
108	4	14	56
109	2	10	54
110	8	19	120
111	1	7	30
112	2	14	40
113	0	17	37
114	1	18	44
115	4	14	50
116	0	13	34
117	1	3	38
118	4	13	39
119	3	16	60
120	10	49	282
121	2	9	35
122	2	9	37
123	1	10	31
124	1	8	37
125	4	12	76
126	2	9	39
127	5	11	38
128	0	7	35
129	1	10	61
130	5	12	124
131	1	6	24
132	1	5	43
133	2	13	36
134	0	5	40
135	2	16	46
136	1	4	32
137	2	7	27
138	1	3	37
139	0	12	39
140	1	20	116
141	0	11	25
142	2	8	28
143	1	6	43
144	1	6	35
145	5	5	46
146	3	4	24
147	0	9	27
148	2	9	31
149	1	10	39
150	14	55	424
151	1	4	23
152	0	7	24
153	0	8	29
154	0	4	24
155	0	7	46
156	1	5	30
157	2	9	17
158	2	5	29
159	5	4	31
160	6	12	97
161	1	10	29
162	1	8	22
163	2	3	19
164	2	2	32
165	1	6	33
166	0	5	18
167	0	5	27
168	0	5	19
169	1	6	21
170	4	10	90
171	0	5	17
172	1	9	21
173	1	7	16
174	1	3	17
175	1	8	48
176	0	5	15
177	0	6	25
178	0	7	22
179	0	6	25
180	1	21	127
181	0	8	26
182	1	4	23
183	0	6	22
184	1	5	27
185	2	8	34
186	1	9	20
187	1	7	28
188	2	4	21
189	0	7	31
190	1	8	47
191	1	6	11
192	0	1	17
193	2	7	14
194	0	2	16
195	2	3	37
196	0	8	16
197	0	3	18
198	0	4	19
199	1	9	29
200	9	49	401
201	1	10	23
202	1	8	26
203	0	3	9
204	1	9	22
205	0	6	24
206	0	3	19
207	0	2	15
208	1	3	12
209	2	6	15
210	3	7	44
211	0	2	13
212	1	4	19
213	0	4	22
214	1	3	17
215	0	5	33
216	0	0	13
217	0	3	16
218	0	3	10
219	0	3	17
220	3	12	61
221	0	2	10
222	0	4	12
223	1	5	15
224	0	1	18
225	0	7	27
226	0	4	8
227	0	4	14
228	0	2	14
229	2	3	15
230	3	4	53
231	0	0	10
232	1	3	11
233	2	0	11
234	0	4	20
235	0	4	21
236	0	4	11
237	0	2	14
238	0	2	7
239	0	1	14
240	2	6	58
241	0	4	4
242	1	3	17
243	1	1	12
244	0	2	8
245	0	1	20
246	1	2	15
247	1	4	12
248	0	1	15
249	0	6	15
250	1	26	233
251	0	3	13
252	0	0	10
253	0	4	10
254	1	2	11
255	0	4	18
256	0	4	13
257	0	4	10
258	0	1	12
259	1	3	12
260	2	4	30
261	0	1	6
262	0	2	16
263	0	3	12
264	0	0	6
265	0	2	15
266	0	3	8
267	0	2	12
268	0	3	10
269	0	3	15
270	0	8	36
271	0	1	7
272	0	3	11
273	0	0	7
274	0	1	14
275	1	3	19
276	0	1	6
277	0	1	7
278	0	0	12
279	1	0	13
280	1	6	45
281	2	1	8
282	0	1	7
283	0	1	6
284	0	4	3
285	1	2	22
286	0	7	7
287	0	1	11
288	0	1	10
289	0	0	12
290	0	5	26
291	1	1	7
292	0	3	5
293	0	0	6
294	0	0	7
295	0	2	12
296	0	3	11
297	0	0	12
298	0	1	13
299	0	4	6
300	2	30	216
301	0	2	8
302	0	0	13
303	0	1	6
304	0	1	11
305	1	2	16
306	0	1	4
307	0	0	9
308	0	2	13
309	0	3	3
310	0	2	22
311	0	0	2
312	0	0	5
313	0	1	5
314	1	2	10
315	0	5	7
316	0	1	6
317	0	1	12
318	0	1	8
319	0	0	7
320	0	1	24
321	0	0	9
322	0	0	8
323	0	0	8
324	0	3	9
325	0	1	8
326	0	4	5
327	0	3	5
328	0	2	5
329	0	2	7
330	0	5	13
331	0	1	4
332	0	1	6
333	0	1	5
334	1	0	3
335	1	2	12
336	0	3	9
337	0	0	9
338	0	0	4
339	0	1	6
340	0	3	20
341	0	0	3
342	0	1	5
