date	Approved	Settled	Denied
10.0	57.72	2.35	39.93
20.0	53.01	7.02	39.98
30.0	48.26	9.78	41.96
40.0	44.6	13.87	41.53
50.0	42.26	16.19	41.55
60.0	39.33	19.12	41.55
70.0	34.57	20.59	44.84
80.0	34.46	20.36	45.19
90.0	32.62	22.93	44.44
100.0	29.94	22.31	47.75
110.0	25.27	27.44	47.29
120.0	27.03	23.92	49.05
130.0	23.79	23.36	52.85
140.0	20.62	24.94	54.44
150.0	22.0	26.8	51.2
160.0	21.91	25.92	52.17
170.0	20.28	27.11	52.61
180.0	19.59	26.72	53.69
190.0	18.32	26.84	54.84
200.0	15.35	25.54	59.11
210.0	16.69	28.51	54.8
220.0	15.71	23.78	60.52
230.0	14.23	28.29	57.48
240.0	14.29	24.1	61.62
250.0	12.08	26.44	61.48
260.0	10.08	24.03	65.88
270.0	13.48	26.96	59.57
280.0	12.65	27.14	60.2
290.0	13.29	28.07	58.64
300.0	11.15	26.43	62.42
310.0	11.41	28.22	60.37
320.0	12.54	25.98	61.48
330.0	10.23	27.88	61.89
340.0	9.56	27.03	63.41
350.0	9.98	27.06	62.96
360.0	9.76	26.65	63.59
370.0	11.37	26.61	62.02
380.0	11.28	30.26	58.46
390.0	11.93	24.65	63.42
400.0	9.3	27.58	63.13
410.0	8.62	29.66	61.72
420.0	12.29	28.99	58.72
430.0	7.1	28.41	64.49
440.0	7.82	27.36	64.82
450.0	6.71	25.84	67.45
460.0	10.47	28.29	61.24
470.0	8.46	30.09	61.44
480.0	7.97	25.25	66.78
490.0	8.61	27.6	63.8
500.0	5.9	23.43	70.66
510.0	12.45	25.3	62.25
520.0	7.3	22.99	69.71
530.0	5.24	25.81	68.95
540.0	7.29	30.36	62.35
550.0	7.8	22.54	69.65
560.0	7.22	21.65	71.13
570.0	6.01	23.5	70.49
580.0	9.3	26.74	63.95
590.0	10.73	22.44	66.83
600.0	6.03	17.37	76.6
610.0	3.4	31.29	65.31
620.0	6.56	25.68	67.76
630.0	8.19	23.98	67.84
640.0	9.36	23.39	67.25
650.0	2.69	18.08	79.23
660.0	2.99	24.63	72.39
670.0	2.53	20.25	77.22
680.0	5.76	20.86	73.38
690.0	8.52	22.16	69.32
700.0	4.74	13.68	81.58
710.0	3.74	14.95	81.31
720.0	6.34	21.83	71.83
730.0	3.51	30.7	65.79
740.0	5.26	21.8	72.93
750.0	4.21	19.92	75.86
760.0	5.15	22.68	72.16
770.0	3.48	27.83	68.7
780.0	6.12	15.31	78.57
790.0	4.07	28.46	67.48
800.0	4.39	19.27	76.34
810.0	6.12	21.43	72.45
820.0	1.83	23.85	74.31
830.0	2.5	21.25	76.25
840.0	1.1	25.27	73.63
850.0	6.96	15.82	77.22
860.0	3.45	29.89	66.67
870.0	3.77	20.75	75.47
880.0	1.3	24.68	74.03
890.0	5.66	23.58	70.75
900.0	2.46	16.8	80.74
910.0	12.68	23.94	63.38
920.0	3.61	27.71	68.67
930.0	5.71	20.0	74.29
940.0	5.13	21.79	73.08
950.0	4.08	21.09	74.83
960.0	0.0	24.0	76.0
970.0	1.75	11.4	86.84
980.0	1.28	16.67	82.05
990.0	2.06	19.59	78.35
1000.0	4.28	8.91	86.81
1010.0	0.0	25.0	75.0
1020.0	0.0	21.05	78.95
1030.0	2.5	20.0	77.5
1040.0	0.0	22.09	77.91
1050.0	4.6	17.24	78.16
1060.0	3.28	26.23	70.49
1070.0	2.74	16.44	80.82
1080.0	5.41	18.92	75.68
1090.0	3.03	15.15	81.82
1100.0	5.44	12.93	81.63
1110.0	2.63	18.42	78.95
1120.0	3.57	25.0	71.43
1130.0	0.0	31.48	68.52
1140.0	1.59	28.57	69.84
1150.0	5.88	20.59	73.53
1160.0	0.0	27.66	72.34
1170.0	2.38	7.14	90.48
1180.0	7.14	23.21	69.64
1190.0	3.8	20.25	75.95
1200.0	2.93	14.37	82.7
1210.0	4.35	19.57	76.09
1220.0	4.17	18.75	77.08
1230.0	2.38	23.81	73.81
1240.0	2.17	17.39	80.43
1250.0	4.35	13.04	82.61
1260.0	4.0	18.0	78.0
1270.0	9.26	20.37	70.37
1280.0	0.0	16.67	83.33
1290.0	1.39	13.89	84.72
1300.0	3.55	8.51	87.94
1310.0	3.23	19.35	77.42
1320.0	2.04	10.2	87.76
1330.0	3.92	25.49	70.59
1340.0	0.0	11.11	88.89
1350.0	3.13	25.0	71.88
1360.0	2.7	10.81	86.49
1370.0	5.56	19.44	75.0
1380.0	2.44	7.32	90.24
1390.0	0.0	23.53	76.47
1400.0	0.73	14.6	84.67
1410.0	0.0	30.56	69.44
1420.0	5.26	21.05	73.68
