claim_amount	Approve	Settle	Deny
1	4	0	6
2	15	1	16
3	48	0	27
4	68	1	47
5	144	1	95
6	174	2	112
7	280	2	157
8	351	4	188
9	295	0	169
10	821	11	519
11	112	1	91
12	274	7	188
13	119	8	78
14	185	8	108
15	338	20	262
16	139	6	107
17	96	4	78
18	121	14	104
19	173	18	110
20	517	51	401
21	311	27	173
22	91	12	77
23	95	12	65
24	124	19	86
25	399	70	323
26	96	24	94
27	97	13	75
28	72	13	58
29	147	17	118
30	330	77	301
31	104	16	71
32	154	35	131
33	59	9	54
34	70	21	67
35	201	40	178
36	73	9	55
37	69	10	59
38	52	10	51
39	121	23	105
40	257	114	247
41	52	15	51
42	84	35	105
43	81	15	82
44	76	15	43
45	182	43	147
46	46	17	36
47	70	16	66
48	86	27	74
49	111	28	122
50	494	191	464
51	39	18	48
52	70	32	61
53	65	24	73
54	77	23	57
55	105	38	103
56	34	19	52
57	38	13	49
58	45	15	49
59	98	35	91
60	251	120	257
61	26	14	32
62	33	23	60
63	59	29	48
64	73	38	74
65	151	61	132
66	30	11	39
67	26	24	45
68	56	26	47
69	91	41	107
70	132	88	177
71	33	13	30
72	38	29	52
73	28	15	34
74	52	31	61
75	211	139	262
76	34	19	51
77	26	8	40
78	34	13	49
79	75	40	104
80	158	111	187
81	26	12	44
82	36	19	43
83	27	22	25
84	47	21	62
85	118	55	162
86	31	28	47
87	24	20	48
88	31	14	42
89	64	30	77
90	94	71	142
91	19	12	21
92	28	24	36
93	26	17	40
94	44	17	41
95	63	60	96
96	25	23	34
97	39	18	41
98	37	20	52
99	83	60	121
100	400	302	669
101	21	8	26
102	24	15	41
103	13	14	23
104	28	23	39
105	45	40	62
106	34	19	44
107	20	23	43
108	40	17	53
109	34	30	51
110	69	65	102
111	10	10	23
112	20	14	38
113	9	16	36
114	18	24	31
115	38	33	49
116	13	17	33
117	13	19	35
118	17	17	26
119	26	38	63
120	129	110	224
121	16	12	26
122	7	11	21
123	11	17	24
124	15	12	38
125	120	89	201
126	18	19	29
127	22	15	33
128	20	20	32
129	42	49	98
130	56	70	136
131	13	12	23
132	15	8	16
133	15	16	23
134	16	9	36
135	35	34	93
136	16	13	36
137	16	14	26
138	13	24	40
139	26	17	62
140	50	51	129
141	8	9	29
142	6	12	23
143	13	11	29
144	7	15	30
145	31	35	53
146	13	13	18
147	12	11	21
148	10	15	33
149	31	47	113
150	224	278	538
151	13	17	25
152	15	15	28
153	5	12	36
154	10	11	28
155	28	27	43
156	15	18	32
157	11	15	26
158	19	19	31
159	26	34	65
160	58	82	113
161	21	8	45
162	18	27	46
163	8	11	29
164	11	13	32
165	25	28	57
166	10	13	23
167	11	13	18
168	9	16	28
169	26	22	78
170	23	40	72
171	8	12	22
172	16	18	29
173	9	12	21
174	8	11	35
175	57	73	123
176	5	9	27
177	15	17	26
178	13	18	35
179	21	24	64
180	43	74	137
181	4	15	31
182	12	15	21
183	2	15	22
184	12	11	24
185	35	25	61
186	9	10	20
187	14	9	24
188	9	13	31
189	14	23	51
190	23	41	68
191	3	8	18
192	9	8	20
193	8	18	26
194	10	10	32
195	21	27	63
196	7	14	22
197	7	12	26
198	20	14	31
199	34	56	119
200	185	313	776
201	8	19	19
202	8	14	33
203	4	10	18
204	10	14	27
205	14	14	42
206	5	12	24
207	8	15	17
208	5	22	34
209	21	13	42
210	18	40	59
211	17	21	30
212	9	20	34
213	10	17	32
214	6	18	36
215	22	31	56
216	11	18	44
217	12	9	33
218	9	15	32
219	6	16	38
220	25	41	102
221	7	13	23
222	4	5	22
223	7	7	20
224	6	13	35
225	25	43	108
226	1	11	14
227	11	7	21
228	12	7	26
229	11	18	49
230	18	41	71
231	8	6	10
232	8	13	22
233	4	4	19
234	4	12	27
235	7	26	42
236	3	9	18
237	9	10	22
238	9	15	34
239	9	21	54
240	19	39	78
241	10	9	21
242	5	8	26
243	4	11	25
244	7	10	31
245	13	20	45
246	6	4	23
247	4	7	21
248	9	15	30
249	22	44	127
250	109	239	554
251	3	8	19
252	4	14	18
253	2	5	13
254	4	12	25
255	11	15	40
256	2	9	16
257	2	4	23
258	6	15	25
259	10	14	46
260	10	36	77
261	0	8	25
262	2	12	34
263	3	9	25
264	6	8	27
265	9	20	59
266	3	8	26
267	12	11	31
268	7	11	19
269	8	20	69
270	14	33	76
271	3	5	23
272	5	11	20
273	4	6	18
274	5	14	25
275	30	37	79
276	4	12	14
277	5	8	19
278	5	13	22
279	6	23	62
280	14	30	80
281	4	12	17
282	3	6	19
283	2	8	15
284	4	10	20
285	10	21	40
286	2	16	16
287	9	8	22
288	7	9	26
289	7	13	40
290	8	19	57
291	3	10	18
292	10	6	23
293	5	4	19
294	3	11	12
295	7	20	39
296	4	8	17
297	5	12	20
298	9	16	19
299	26	63	129
300	127	295	711
301	4	4	21
302	2	10	16
303	2	9	19
304	5	11	35
305	10	15	26
306	3	9	14
307	3	10	22
308	2	13	22
309	4	8	21
310	12	22	58
311	1	9	16
312	7	14	24
313	5	9	27
314	3	14	32
315	8	15	33
316	5	7	20
317	4	13	22
318	8	14	29
319	2	19	30
320	10	37	93
321	5	13	25
322	5	14	23
323	6	17	33
324	10	15	48
325	21	38	101
326	4	10	17
327	2	4	11
328	6	8	19
329	14	16	37
330	11	16	43
331	5	6	15
332	3	9	13
333	3	5	16
334	3	4	30
335	1	24	37
336	4	8	11
337	5	7	20
338	1	13	19
339	4	17	38
340	12	17	63
341	2	5	19
342	2	13	21
343	3	11	8
344	2	12	17
345	7	14	36
346	3	11	25
347	2	10	24
348	0	5	9
349	13	32	83
350	56	157	363
351	5	2	16
352	2	9	22
353	3	9	21
354	3	4	20
355	3	11	30
356	2	9	12
357	4	9	16
358	3	10	18
359	6	16	31
360	11	28	60
361	0	10	15
362	1	4	16
363	3	7	14
364	4	5	14
365	4	12	41
366	5	8	18
367	2	10	13
368	2	4	22
369	5	13	28
370	11	14	41
371	1	8	20
372	2	13	20
373	3	9	15
374	5	11	26
375	11	23	80
376	6	4	22
377	3	6	21
