claim_amount	Approve	Settle	Deny
10	1850	18	1131
20	2348	133	1692
30	1793	284	1374
40	1173	281	1009
50	1282	409	1204
60	829	333	848
70	679	346	748
80	688	427	884
90	505	290	683
100	768	554	1158
110	333	251	493
120	290	303	552
130	331	313	632
140	209	193	486
150	360	449	899
160	190	245	420
170	173	195	443
180	195	271	507
190	136	174	348
200	307	482	1134
210	98	176	317
220	129	206	445
230	100	165	388
240	80	159	327
250	191	365	903
260	54	128	301
270	62	143	385
280	82	160	370
290	58	122	264
300	199	443	1011
310	44	116	261
320	53	145	310
330	87	156	370
340	39	110	253
350	93	272	608
360	41	102	248
370	37	92	221
380	52	131	302
390	43	114	222
400	118	296	748
410	29	95	188
420	32	86	184
430	43	121	241
440	25	94	222
450	46	178	414
460	22	65	192
470	27	71	149
480	24	99	215
490	23	75	168
500	84	269	845
510	10	72	147
520	31	61	160
530	19	60	187
540	15	69	170
550	30	111	265
560	16	39	131
570	9	44	125
580	11	45	136
590	17	41	97
600	46	111	461
610	8	33	102
620	5	43	103
630	15	54	121
640	13	36	107
650	16	56	234
660	4	30	99
670	4	33	89
680	5	34	132
690	8	28	94
700	26	70	353
710	6	18	77
720	6	20	88
730	8	30	97
740	4	33	78
750	9	55	203
760	8	25	93
770	6	26	65
780	5	31	89
790	5	16	70
800	19	95	336
810	5	14	54
820	4	27	72
830	2	19	83
840	2	23	67
850	7	31	126
860	5	13	55
870	5	28	60
880	2	20	78
890	1	18	57
900	9	48	221
910	4	19	48
920	8	21	51
930	5	17	57
940	2	16	47
950	6	27	120
960	4	20	48
970	1	18	62
980	1	15	100
990	2	11	56
1000	24	59	521
1010	1	9	43
1020	0	16	41
1030	0	12	48
1040	1	8	34
1050	2	22	83
1060	3	13	47
1070	1	14	46
1080	2	14	56
1090	4	12	54
1100	9	20	137
1110	1	9	35
1120	1	6	34
1130	2	17	39
1140	0	17	37
1150	4	24	64
1160	1	6	33
1170	0	13	31
1180	1	2	39
1190	5	14	37
1200	10	60	296
1210	2	4	48
1220	2	11	35
1230	3	7	34
1240	1	10	32
1250	2	14	78
1260	2	7	36
1270	4	8	38
1280	3	12	40
1290	0	7	36
1300	6	14	158
1310	0	7	24
1320	1	8	26
1330	1	5	41
1340	2	11	37
1350	2	10	60
1360	0	11	28
1370	2	6	27
1380	1	5	33
1390	1	4	34
1400	0	23	118
1410	1	8	36
1420	0	12	23
1430	2	8	33
1440	1	5	39
1450	3	8	56
1460	3	3	22
1470	3	5	25
1480	0	9	32
1490	2	8	26
1500	12	57	438
1510	4	8	25
