Airport Code,International Passengers,Domestic Passengers,Total Passengers
ATL,11475615,92696320,104171935
LAX,22115778,56171496,80921527
ORD,11744909,66128079,77960588
DFW,8435177,57235520,65670697
JFK,31781375,27324138,59105513
DEN,2304253,55962262,58266515
SFO,12362146,40729913,53099282
LAS,3568506,43866521,47496614
SEA,4866046,40870654,45736700
MIA,21380615,23203988,44584603
CLT,3111398,41310624,44422022
PHX,1989516,41312865,43302381
MCO,5592710,36330689,41923399
IAH,10780277,30842317,41622594
EWR,12344869,28218416,40563285
MSP,2790185,34623543,37413728
BOS,6587473,29700569,36356917
DTW,2922522,31478732,34401254
PHL,4191631,25963459,30155090
LGA,1790006,27996763,29786769
FLL,6055415,23149587,29205002
BWI,1233466,23889185,25122651
DCA,335806,23232780,23568586
SLC,759807,22397638,23157445
MDW,787892,21889967,22677859
IAD,7468611,14348729,21817340
SAN,762156,19963645,20725801
HNL,5397212,14260976,19878659
TPA,851490,18080432,18931922
PDX,672893,17679874,18352767
DAL,0,15562738,15562738
STL,233798,13725328,13959126
BNA,93823,12885980,12979803
HOU,801163,12107912,12909075
AUS,275294,12161555,12436849
OAK,377994,11692973,12070967
MSY,97491,11267996,11365487
RDU,257162,10791981,11049143
MCI,57000,10984767,11041767
SJC,667177,10129548,10796725
SNA,351162,10145349,10496511
SMF,222961,9895833,10118794
SAT,400061,8218078,8618139
RSW,382062,8222611,8604673
IND,75835,8436124,8511959
CLE,190461,8232215,8422676
PIT,206267,8103487,8309754
CMH,88745,7235435,7324180
CVG,247778,6526127,6773905
MKE,104694,6652663,6757357
OGG,327215,6349928,6677143
PBI,154507,6109890,6264397
BDL,79679,5981264,6060943
JAX,1838,5590040,5591878
ANC,67177,5422881,5511607
ABQ,0,4775098,4775098
BUF,8812,4609936,4618748
OMA,0,4349486,4349486
ONT,136133,4102268,4238401
MEM,2528,4155232,4157760
BUR,0,4142943,4142943
OKC,0,3715305,3715305
CHS,0,3656689,3656689
PVD,38119,3614910,3653029
RNO,42926,3607904,3650830
RIC,0,3559052,3559052
SDF,0,3346545,3346545
TUS,2626,3283028,3285654
GEG,0,3234095,3234095
BOI,0,3230878,3230878
ORF,0,3212506,3212506
KOA,56997,2996111,3053108
LIH,45610,2776137,2821747
ALB,0,2818643,2818643
TUL,0,2810627,2810627
ELP,0,2807734,2807734
LGB,0,2794185,2794185
SFB,300579,2449035,2752410
GRR,0,2653630,2653630
BHM,0,2653207,2653207
DSM,0,2483924,2483924
ROC,16331,2376920,2393251
SAV,0,2190406,2190406
DAY,0,2069572,2069572
MHT,0,2021279,2021279
GSP,0,2018319,2018319
SYR,16647,1987419,2004066
PSP,343401,1654805,1998206
MYR,18201,1924726,1942927
LIT,0,1897000,1897000
MSN,0,1851809,1851809
PIE,14908,1822127,1837035
TYS,0,1827989,1827989
PWM,0,1786942,1786942
GSO,0,1686862,1686862
PNS,0,1609063,1609063
ICT,0,1602311,1602311
FAT,201623,1339300,1540923
HPN,0,1468808,1468808
CAK,0,1398615,1398615
AZA,0,1355243,1355243
XNA,0,1338042,1338042
ITO,0,1325750,1325750
LEX,0,1314762,1314762
COS,0,1298380,1298380
BTV,2139,1206204,1208343
ACY,1408,1205865,1207273
MDT,14024,1191418,1205442
SRQ,63337,1123082,1186419
CAE,0,1132329,1132329
PGD,0,1118303,1118303
BZN,0,1107168,1107168
CID,0,1084310,1084310
FAI,19677,1063625,1083302
HSV,0,1079028,1079028
FSD,0,1027022,1027022
JAN,0,985450,985450
EUG,0,963178,963178
SGF,0,952703,952703
ECP,0,897679,897679
BIL,0,865431,865431
CHA,0,836986,836986
BLI,0,835860,835860
AVL,0,826648,826648
ILM,0,817896,817896
MFR,0,811901,811901
PSC,0,751516,751516
BTR,0,749997,749997
FWA,0,727896,727896
MLI,0,719000,719000
TLH,0,713698,713698
DAB,0,707657,707657
ABE,0,688505,688505
CRP,0,675701,675701
SBA,0,658956,658956
SBN,0,658076,658076
ROA,0,629726,629726
PIA,0,623134,623134
GPT,0,618590,618590
GRB,0,601247,601247
CHO,0,593000,593000
SHV,0,578033,578033
BIS,0,543273,543273
BGR,2057,477302,531639
FCA,0,494000,494000
MLB,1743,463339,465082
LFT,0,426510,426510
TRI,0,425922,425922
CRW,0,425000,425000
GNV,0,420787,420787
MRY,0,394923,394923
BMI,0,381109,381109
STS,0,339191,339191
SBP,0,330241,330241
LNK,0,330020,330020
LAN,0,310369,310369
SWF,0,275421,275421
GFK,0,262962,262962
AEX,0,255229,255229
IAG,0,241374,241374
CWA,0,233933,233933
RFD,21151,203281,224432
BRO,0,217195,217195
BFL,0,203585,203585
LCK,0,203269,203269
BKL,0,200356,200356
CPR,0,186223,186223
ABI,0,179449,179449
FSM,0,173657,173657
YUM,0,146475,146475
HSH,0,131034,131034
BQK,0,71582,71582
PAH,0,40925,40925
LBF,0,7194,7194
VGT,0,3131,3131
APF,0,2829,2829
MHR,0,296,296
EFD,0,2,2
