Item ID,Category
1,Other
2,Containers
3,Electronics
4,Tools & Machines
5,Scientific Intruments
6,Clothing & Accessories
7,Electronics
8,Watches & Jewelry
9,Clothing & Accessories
10,Supplies
11,Electronics
12,Other
13,Electronics
14,Cosmetics
15,Tools & Machines
16,Electronics
17,Electronics
18,Musical Intruments
19,Outdoors Supplies
20,Supplies
21,Watches & Jewelry
22,Food & Drink
23,Automobile & Mechanical
24,Outdoors Supplies
25,Electronics
26,Containers
27,Household Items
28,Outdoors Supplies
29,Games & Toys
30,Office Supplies
31,Watches & Jewelry
32,Scientific Intruments
33,Office Supplies
34,Electronics
35,Electronics
36,Household Decor
37,Electronics
38,Scientific Intruments
39,Household Decor
40,Outdoors Supplies
41,Containers
42,Games & Toys
43,Electronics
44,Household Decor
45,Household Decor
46,Tools & Machines
47,Outdoors Supplies
48,Household Items
49,Electronics
50,Tools & Machines
51,Cosmetics
52,Containers
53,Tools & Machines
54,Games & Toys
55,Household Items
56,Games & Toys
57,Household Items
58,Household Decor
59,Electronics
60,Weapons & Knives
61,Household Items
62,Household Items
63,Automobile & Mechanical
64,Watches & Jewelry
65,Household Decor
66,Containers
67,Household Decor
68,Electronics
69,Musical Intruments
70,Electronics
71,Outdoors Supplies
72,Household Decor
73,Tools & Machines
74,Cosmetics
75,Games & Toys
76,Household Decor
77,Musical Intruments
78,Office Supplies
79,Supplies
80,Containers
81,Office Supplies
82,Electronics
83,Household Items
84,Office Supplies
85,Scientific Intruments
86,Office Supplies
87,Containers
88,Household Decor
89,Containers
90,Scientific Intruments
91,Office Supplies
92,Household Items
93,Electronics
94,Household Decor
95,Household Decor
96,Office Supplies
97,Tools & Machines
98,Household Decor
99,Electronics
100,Supplies
101,Games & Toys
102,Musical Intruments
103,Outdoors Supplies
104,Household Decor
105,Household Decor
106,Household Decor
107,Tools & Machines
108,Household Decor
109,Outdoors Supplies
110,Cosmetics
111,Tools & Machines
112,Outdoors Supplies
113,Scientific Intruments
114,Outdoors Supplies
115,Household Items
116,Games & Toys
117,Household Decor
118,Supplies
119,Cosmetics
120,Household Items
121,Outdoors Supplies
122,Household Decor
123,Clothing & Accessories
124,Household Decor
125,Electronics
126,Cosmetics
127,Household Decor
128,Outdoors Supplies
129,Household Items
130,Household Items
131,Household Decor
132,Outdoors Supplies
133,Outdoors Supplies
134,Food & Drink
135,Weapons & Knives
136,Electronics
137,Electronics
138,Clothing & Accessories
139,Tools & Machines
140,Cosmetics
141,Electronics
142,Clothing & Accessories
143,Cosmetics
144,Electronics
145,Containers
146,Clothing & Accessories
147,Watches & Jewelry
148,Food & Drink
149,Household Decor
150,Office Supplies
151,Games & Toys
152,Electronics
153,Office Supplies
154,Household Items
155,Electronics
156,Supplies
157,Musical Intruments
158,Scientific Intruments
159,Automobile & Mechanical
160,Outdoors Supplies
161,Outdoors Supplies
162,Electronics
163,Other
164,Other
165,Clothing & Accessories
166,Other
167,Supplies
168,Cosmetics
169,Scientific Intruments
170,Containers
171,Outdoors Supplies
172,Outdoors Supplies
173,Cosmetics
